Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;Libell_d_acheminement;coordonnees_gps
21399;MEILLY SUR ROUVRES;21320;;MEILLY SUR ROUVRES;MEILLY SUR ROUVRES;47.2060045019,4.55254034085
21406;MESMONT;21540;;MESMONT;MESMONT;47.3122266518,4.74410039616
21411;MEURSANGES;21200;;MEURSANGES;MEURSANGES;46.9815545496,4.94294705881
21418;MOITRON;21510;;MOITRON;MOITRON;47.681789677,4.80835298822
21422;MOLPHEY;21210;;MOLPHEY;MOLPHEY;47.33634862,4.20666118075
21423;MONTAGNY LES BEAUNE;21200;;MONTAGNY LES BEAUNE;MONTAGNY LES BEAUNE;46.9849200277,4.8539733561
21426;MONTBERTHAULT;21460;;MONTBERTHAULT;MONTBERTHAULT;47.4611172528,4.15752601087
21434;MONTLAY EN AUXOIS;21210;;MONTLAY EN AUXOIS;MONTLAY EN AUXOIS;47.3313381255,4.26775681243
21444;MOSSON;21400;;MOSSON;MOSSON;47.9206276016,4.62892350243
21445;LA MOTTE TERNANT;21210;;LA MOTTE TERNANT;LA MOTTE TERNANT;47.3168367609,4.32727965395
21454;NICEY;21330;;NICEY;NICEY;47.8654500555,4.29442620527
21467;OISILLY;21310;;OISILLY;OISILLY;47.416992177,5.36192344642
21470;ORIGNY;21510;;ORIGNY;ORIGNY;47.712880266,4.63220686716
21474;PAGNY LA VILLE;21250;;PAGNY LA VILLE;PAGNY LA VILLE;47.0574519111,5.16871339995
21483;PICHANGES;21120;;PICHANGES;PICHANGES;47.4561192838,5.15835923398
21491;POISEUL LES SAULX;21120;;POISEUL LES SAULX;POISEUL LES SAULX;47.5785116858,4.98176331953
21492;POMMARD;21630;;POMMARD;POMMARD;47.0136884402,4.79517699243
21497;PONT ET MASSENE;21140;;PONT ET MASSENE;PONT ET MASSENE;47.4690088064,4.35812492053
21500;POUILLENAY;21150;;POUILLENAY;POUILLENAY;47.5031151334,4.46065492588
21505;PRECY SOUS THIL;21390;;PRECY SOUS THIL;PRECY SOUS THIL;47.4014711109,4.3167537134
21506;PREMEAUX PRISSEY;21700;;PREMEAUX PRISSEY;PREMEAUX PRISSEY;47.1049527311,4.9428568446
21510;PRUSLY SUR OURCE;21400;;PRUSLY SUR OURCE;PRUSLY SUR OURCE;47.8802357803,4.64331266439
21512;PULIGNY MONTRACHET;21190;;PULIGNY MONTRACHET;PULIGNY MONTRACHET;46.9467556144,4.75926217237
21517;QUINCEY;21700;;QUINCEY;QUINCEY;47.1072396532,4.9719971557
21521;REMILLY SUR TILLE;21560;;REMILLY SUR TILLE;REMILLY SUR TILLE;47.3073839906,5.23140523397
21524;RIEL LES EAUX;21570;;RIEL LES EAUX;RIEL LES EAUX;47.9883595832,4.6810588617
21526;ROCHEFORT SUR BREVON;21510;;ROCHEFORT SUR BREVON;ROCHEFORT SUR BREVON;47.7409734699,4.70623994168
21541;ST AUBIN;21190;;ST AUBIN;ST AUBIN;46.9504940966,4.71144303201
21542;ST BERNARD;21700;;ST BERNARD;ST BERNARD;47.1597856871,5.02381955265
21543;ST BROING LES MOINES;21290;;ST BROING LES MOINES;ST BROING LES MOINES;47.7009540963,4.84214518878
21544;STE COLOMBE EN AUXOIS;21350;;STE COLOMBE EN AUXOIS;STE COLOMBE EN AUXOIS;47.4272975926,4.46203899793
21545;STE COLOMBE SUR SEINE;21400;;STE COLOMBE SUR SEINE;STE COLOMBE SUR SEINE;47.8608080678,4.52802612244
21552;ST HELIER;21690;;ST HELIER;ST HELIER;47.389027921,4.68824509954
21554;ST JEAN DE LOSNE;21170;;ST JEAN DE LOSNE;ST JEAN DE LOSNE;47.1017053631,5.26653480307
21557;ST MARC SUR SEINE;21450;;ST MARC SUR SEINE;ST MARC SUR SEINE;47.7000984346,4.59972785822
21568;ST REMY;21500;;ST REMY;ST REMY;47.6514487621,4.30074825954
21575;ST SYMPHORIEN SUR SAONE;21170;;ST SYMPHORIEN SUR SAONE;ST SYMPHORIEN SUR SAONE;47.0909529728,5.31775457592
